,KNN,SVM,Decision Tree,LVQ,MLP,Ensemble Neural Network,Stacking,Random Forest,XGBoost,LightGBM
KNN,1.0,0.3481293630814737,0.9902322856362991,0.9999997097561393,0.8363187040425714,0.9996865412691455,0.0048171099709319876,0.19071468669342517,0.7966350428476585,0.06007650651395924
SVM,0.3481293630814737,1.0,0.023825373481805356,0.5503923864651403,0.9992607845890754,0.07429820681644006,0.9014659418248667,2.2522874576602625e-05,0.0019817737508841526,0.9992607845890754
Decision Tree,0.9902322856362991,0.023825373481805356,1.0,0.9470708463807999,0.19071468669342528,0.9999979303194189,4.7801854067053284e-05,0.836318704042571,0.9996865412691455,0.001455492058291985
LVQ,0.9999997097561393,0.5503923864651403,0.9470708463807999,1.0,0.9470708463807999,0.9943239487015753,0.014369973809175263,0.09117452418967209,0.6032392840986236,0.1340518047417073
MLP,0.8363187040425714,0.9992607845890754,0.19071468669342528,0.9470708463807999,1.0,0.3957431441436966,0.44579784056208893,0.0007707459909844783,0.030354640480363626,0.9014659418248667
Ensemble Neural Network,0.9996865412691455,0.07429820681644006,0.9999979303194189,0.9943239487015753,0.3957431441436966,1.0,0.0002838903330512066,0.6032392840986234,0.9902322856362991,0.006394109646159385
Stacking,0.0048171099709319876,0.9014659418248667,4.7801854067053284e-05,0.014369973809175263,0.44579784056208893,0.0002838903330512066,1.0,3.62920515861731e-09,1.3572679234963303e-06,0.9992607845890754
Random Forest,0.19071468669342517,2.2522874576602625e-05,0.836318704042571,0.09117452418967209,0.0007707459909844783,0.6032392840986234,3.62920515861731e-09,1.0,0.9943239487015751,3.7508467110036747e-07
XGBoost,0.7966350428476585,0.0019817737508841526,0.9996865412691455,0.6032392840986236,0.030354640480363626,0.9902322856362991,1.3572679234963303e-06,0.9943239487015751,1.0,6.905131910328599e-05
LightGBM,0.06007650651395924,0.9992607845890754,0.001455492058291985,0.1340518047417073,0.9014659418248667,0.006394109646159385,0.9992607845890754,3.7508467110036747e-07,6.905131910328599e-05,1.0
