,KNN,SVM,Decision Tree,LVQ,MLP,Ensemble Neural Network,Stacking,Random Forest,XGBoost,LightGBM
KNN,1.0,0.9992607845890754,0.9992607845890754,0.003605591865784352,0.49761435926227726,0.0010623945048281458,0.44579784056208893,0.7053513107321401,0.19071468669342528,0.9014659418248667
SVM,0.9992607845890754,1.0,0.9014659418248667,0.00014163898638885897,0.1110009046587116,3.290465079008875e-05,0.9014659418248667,0.22460588750472243,0.023825373481805356,0.9992607845890754
Decision Tree,0.9992607845890754,0.9014659418248667,1.0,0.04820750972214338,0.9266472631150361,0.018568048763807354,0.09117452418967242,0.9840725925484188,0.6552093330872828,0.44579784056208893
LVQ,0.003605591865784352,0.00014163898638885897,0.04820750972214338,1.0,0.7527611127337236,0.9999997097561393,3.9464376766495946e-08,0.5503923864651401,0.9630997073361253,3.1130461041195545e-06
MLP,0.49761435926227726,0.1110009046587116,0.9266472631150361,0.7527611127337236,1.0,0.5503923864651412,0.0005557937816762504,0.9999997097561393,0.999961932731335,0.01104479470074382
Ensemble Neural Network,0.0010623945048281458,3.290465079008875e-05,0.018568048763807354,0.9999997097561393,0.5503923864651412,1.0,5.912308309596881e-09,0.34812936308147435,0.8713463223684983,5.789859082172555e-07
Stacking,0.44579784056208893,0.9014659418248667,0.09117452418967242,3.9464376766495946e-08,0.0005557937816762504,5.912308309596881e-09,1.0,0.0019817737508841526,4.7801854067053284e-05,0.9992607845890754
Random Forest,0.7053513107321401,0.22460588750472243,0.9840725925484188,0.5503923864651401,0.9999997097561393,0.34812936308147435,0.0019817737508841526,1.0,0.9984214444307,0.030354640480363626
XGBoost,0.19071468669342528,0.023825373481805356,0.6552093330872828,0.9630997073361253,0.999961932731335,0.8713463223684983,4.7801854067053284e-05,0.9984214444307,1.0,0.001455492058291985
LightGBM,0.9014659418248667,0.9992607845890754,0.44579784056208893,3.1130461041195545e-06,0.01104479470074382,5.789859082172555e-07,0.9992607845890754,0.030354640480363626,0.001455492058291985,1.0
