,KNN,SVM,Decision Tree,LVQ,MLP,Ensemble Neural Network,Stacking,Random Forest,XGBoost,LightGBM
KNN,1.0,0.9992607845890754,0.9992607845890754,0.003605591865784352,0.6032392840986236,0.0010623945048281458,0.44579784056208893,0.6032392840986236,0.19071468669342528,0.9014659418248667
SVM,0.9992607845890754,1.0,0.9014659418248667,0.00014163898638885897,0.1605634931789568,3.290465079008875e-05,0.9014659418248667,0.1605634931789568,0.023825373481805356,0.9992607845890754
Decision Tree,0.9992607845890754,0.9014659418248667,1.0,0.04820750972214338,0.9630997073361254,0.018568048763807354,0.09117452418967242,0.9630997073361254,0.6552093330872828,0.44579784056208893
LVQ,0.003605591865784352,0.00014163898638885897,0.04820750972214338,1.0,0.6552093330872826,0.9999997097561393,3.9464376766495946e-08,0.6552093330872826,0.9630997073361253,3.1130461041195545e-06
MLP,0.6032392840986236,0.1605634931789568,0.9630997073361254,0.6552093330872826,1.0,0.44579784056208904,0.0010623945048281458,1.0,0.9996865412691455,0.018568048763807354
Ensemble Neural Network,0.0010623945048281458,3.290465079008875e-05,0.018568048763807354,0.9999997097561393,0.44579784056208904,1.0,5.912308309596881e-09,0.44579784056208904,0.8713463223684983,5.789859082172555e-07
Stacking,0.44579784056208893,0.9014659418248667,0.09117452418967242,3.9464376766495946e-08,0.0010623945048281458,5.912308309596881e-09,1.0,0.0010623945048281458,4.7801854067053284e-05,0.9992607845890754
Random Forest,0.6032392840986236,0.1605634931789568,0.9630997073361254,0.6552093330872826,1.0,0.44579784056208904,0.0010623945048281458,1.0,0.9996865412691455,0.018568048763807354
XGBoost,0.19071468669342528,0.023825373481805356,0.6552093330872828,0.9630997073361253,0.9996865412691455,0.8713463223684983,4.7801854067053284e-05,0.9996865412691455,1.0,0.001455492058291985
LightGBM,0.9014659418248667,0.9992607845890754,0.44579784056208893,3.1130461041195545e-06,0.018568048763807354,5.789859082172555e-07,0.9992607845890754,0.018568048763807354,0.001455492058291985,1.0
