,KNN,SVM,Decision Tree,LVQ,MLP,Ensemble Neural Network,Stacking,Random Forest,XGBoost,LightGBM
KNN,1.0,0.9992607845890754,0.996898404292071,0.0007707459909844783,0.7966350428476585,0.0048171099709319876,0.6552093330872826,0.44579784056208893,0.22460588750472243,0.7527611127337238
SVM,0.9992607845890754,1.0,0.8363187040425714,2.2522874576602625e-05,0.30349656071128406,0.00020110906210546453,0.9752366500056239,0.09117452418967242,0.030354640480363626,0.9902322856362991
Decision Tree,0.996898404292071,0.8363187040425714,1.0,0.023825373481805356,0.9984214444307,0.09117452418967242,0.13405180474170708,0.9470708463807999,0.7966350428476585,0.19071468669342528
LVQ,0.0007707459909844783,2.2522874576602625e-05,0.023825373481805356,1.0,0.2246058875047221,0.9999898764327073,2.475118277001087e-08,0.5503923864651401,0.7966350428476581,6.258589280161431e-08
MLP,0.7966350428476585,0.30349656071128406,0.9984214444307,0.2246058875047221,1.0,0.4976143592622777,0.01104479470074382,0.999961932731335,0.996898404292071,0.018568048763807354
Ensemble Neural Network,0.0048171099709319876,0.00020110906210546453,0.09117452418967242,0.9999898764327073,0.4976143592622777,1.0,3.7508467110036747e-07,0.8363187040425717,0.9630997073361255,8.888909431847836e-07
Stacking,0.6552093330872826,0.9752366500056239,0.13405180474170708,2.475118277001087e-08,0.01104479470074382,3.7508467110036747e-07,1.0,0.001455492058291985,0.0002838903330512066,0.9999999993988441
Random Forest,0.44579784056208893,0.09117452418967242,0.9470708463807999,0.5503923864651401,0.999961932731335,0.8363187040425717,0.001455492058291985,1.0,0.9999979303194189,0.0026815589715665222
XGBoost,0.22460588750472243,0.030354640480363626,0.7966350428476585,0.7966350428476581,0.996898404292071,0.9630997073361255,0.0002838903330512066,0.9999979303194189,1.0,0.0005557937816762504
LightGBM,0.7527611127337238,0.9902322856362991,0.19071468669342528,6.258589280161431e-08,0.018568048763807354,8.888909431847836e-07,0.9999999993988441,0.0026815589715665222,0.0005557937816762504,1.0
